Name	State	GPA	sGPA	recent GPA	PCE	CPhT	LoR	GRE	CASPER	Holistic	Tuition	Notes	Source
University of North Dakota	ND	3.0		Prereqs within 7 years preferred; grades B+ (Orgo accepts C)	1000	unspecified	3	not required		TRUE	~$31,948/yr (SD & MT residents; others n/a)	Bachelor's by Dec 31; highly competitive; recent clinical experience emphasized; CASPA deadline Aug 1.	https://med.und.edu/education-training/physician-assistant/prerequisites.html
Campbell University	NC	3.2		Last 60 credit hours GPA >3.2	1000	accepted	3	required		TRUE	~$19,345/semester + fees	Sci >3.2 / prereq >3.4 recommended; bachelor's; prereqs by Dec 31, grade C+; GRE total >300 recommended.	https://cphs.campbell.edu/academic-programs/physician-assistant/master-physician-assistant-practice/admissions/requirements/
University of New Mexico	NM	3.0	3.0	Cum GPA on most recent 60 hrs; sci/math within last 10 years	1000	accepted	3	not required	NOT REQUIRED	TRUE	~$68,367 resident / ~$104,327 non-resident (tuition & fees)	PA-CAT strongly recommended; prereqs U.S., grade C+, most within 10 yrs.	https://hsc.unm.edu/medicine/departments/family-community/education/physician-assistant/admissions.html
University of North Carolina (Chapel Hill)	NC	3.0	3.2	3.0 cumulative OR 3.0 in last 60 semester hours	1000	not accepted	3	not required		TRUE	Resident $68,692 / non-resident ~$115,584 (2-yr total)	UNC-Chapel Hill School of Medicine; requires Medical Terminology; prereqs within 7 yrs, grade C+.	https://www.med.unc.edu/healthsciences/unc-pa/admissions/admissions-requirements/
George Fox University	OR	3.0	3.0	Last 60 credits >=3.3 (alternative if cumulative below 3.0)	0	unspecified	3	not required	NOT REQUIRED	TRUE	~$186,416 total (two-year)	No minimum PCE (2,000 hrs recommended to be competitive); prereqs grade B-, within 10 years; paid U.S. PCE weighted by role.	https://www.georgefox.edu/pa/admissions/prerequisites.html
Morehouse School of Medicine	GA	3.0	3.0	Last 60 undergrad hrs considered if below 3.0	500	unspecified	3	not required		TRUE	~$79,971 total tuition	GRE or PA-CAT (submit one); bachelor's required; prereqs within 7 yrs; medical scribing counts; no shadowing required.	https://www.msm.edu/physicianassistantprogram/prerequisites.php
Wayne State University	MI	3.0	3.0	Last 60 undergrad hrs if cumulative below 3.4	500	unspecified	3	not required		TRUE	unspecified (75 credit hours)	GRE dropped for 2026-27; prereqs grade B+; science within 6 yrs; also requires Nutrition, Medical Terminology.	https://applebaum.wayne.edu/physician-assistant/admissions-requirements
North Central College	IL	3.0	3.0	None (prereqs within 7 years)	750	accepted	3	not required		TRUE	$1,052/credit (~$129K total)	GRE or PA-CAT highly recommended; >=500 hands-on PCE; CPhT counts only toward non-hands-on (max 250); 15 hrs PA shadowing required (not PCE).	https://www.northcentralcollege.edu/master-physician-assistant/how-to-apply
Duke University	NC			Prereqs within 10 years, grade B- or better	1000	not accepted	3	required			~$110,654 total (2 years)	90-seat class; PCE due by May 1; GRE by Aug 15; may apply with <=2 outstanding prereqs.	https://medschool.duke.edu/education/health-professions-education-programs/physician-assistant-program/admissions
Arcadia University	PA			None (no prereq expiration)	200	unspecified	3	not required		TRUE	~$106,860 total	3.0 GPA recommended (3.4 prereq GPA for preferred-admission track); C or better each prereq; CASPA, Oct 1 deadline.	https://www.arcadia.edu/majors-and-programs/physician-assistant/admission/
Kettering College	OH			Science prereqs within last 10 years		accepted	3	required	REQUIRED	TRUE	~$110,697 total (Class of 2027)	No cumulative GPA minimum (admitted avg 3.62); 3.0 prereq GPA minimum; 250-1000 PCE recommended; min grade C; 27-month/98-credit.	https://kc.edu/academics/physician-assistant/admission-requirements/
Rosalind Franklin University	IL	2.75	2.75	Prereqs within 10 years, grade C+ (B+ competitive)		unspecified	2	not required		TRUE	~$60,111 (Yr1) + $58,976 (Yr2) tuition	1000 hrs PCE recommended not required (1400+ competitive); no prereq substitutions; 2025 class avg cum 3.56 / sci 3.51.	https://www.rosalindfranklin.edu/academics/college-of-health-professions/degree-programs/physician-assistant-practice-ms/application-requirements/
Kansas State University	KS	3.0		Prereqs within 10 years (Genetics within 5); older accepted only with 4000+ PCE	0	unspecified	3	not required		TRUE	$69,540 resident / $136,881 non-resident (27-month)	Own PA program (MSPAS w/ Stormont Vail; first grads 2024; 44 seats); 3.0 last-60 GPA + 3.0 prereq GPA; grade C+; requires Medical Terminology.	https://www.hhs.k-state.edu/health-sciences/academics/graduate/physician-assistant/admission/
Idaho State University	ID			Coursework 10+ years old not accepted	0	unspecified	3	required		TRUE	$91,566 resident / $150,570 non-resident (6 semesters)	No cumulative GPA minimum but 3.0 cumulative prereq GPA; min grade C each prereq; GRE by Nov 1; bachelor's by June 30.	https://www.isu.edu/pa/admission/admission-requirements/
Albany Medical College	NY			One Chem + one Bio lecture within last 5 years	1000	unspecified	3	not required		TRUE	$3,000 per 3-credit course (28-month)	No GPA minimum but competitive ~3.9; ~42 seats/yr from ~3,000 applicants; US citizen/PR required.	https://www.amc.edu/admissions/pa-program-admissions/
Harding University	AR	3.0		Last 40 hours weighted higher (competitive ~3.8)	200	unspecified	3	not required		TRUE	~$16,924/semester (flat cohort rate)	Prereq GPA min 3.0 (no exceptions); 10 hrs PA shadowing required (virtual not accepted); Christian institution.	https://www.harding.edu/allied-health/physician-assistant/admissions/
Michigan State University	MI			None	0	unspecified	3	not required		TRUE	In-state $83,402 / out-of-state $94,012 (27-month)	No GPA minimums but min 3.0/B per prereq; PCE strongly encouraged; max 2 repeated prereqs.	https://pa.com.msu.edu/future-students/admission-requirements
Delaware Valley University	PA			Prereqs within past 10 years; GPAs considered holistically	0	unspecified	3	not required		TRUE	~$106,660-$109,362 tuition & fees (2 years)	No GPA or PCE minimums; >=1 LOR from a PA or physician; interview by invitation only; upward trend considered.	https://delval.edu/programs/graduate-programs/physician-assistant-studies/pa-admission
